Group ID,Filename,Folder,Size (KB),Match %
8,20161001_155509.jpg,/Users/User1/Pictures/Dogs/Bargabah,11341,100
8,20161001_155509.jpg,/Users/User1/PhoneCopy/Bargabah,11341,100
9,20161001_155516.jpg,/Users/User1/Pictures/Dogs/Bargabah,12589,100
9,20161001_155516.jpg,/Users/User1/PhoneCopy/Bargabah,12589,100
10,20161001_165757.jpg,/Users/User1/Pictures/Dogs/Bargabah,10613,100
10,20161001_165757.jpg,/Users/User1/PhoneCopy/Bargabah,10613,100
29,20161008_180223(0).jpg,/Users/User1/Pictures/Friends,9755,100
29,20161008_180223(0).jpg,/Users/User1/PhoneCopy/Camera,9755,100
30,20161008_180223.jpg,/Users/User1/PhoneCopy/Camera,9311,100
30,20161008_180223.jpg,/Users/User1/Pictures/Friends,9311,100
2897,anonymized_file.ai,/Users/UserA/Pictures/Friends,623,100
2897,anonymized_file.ai,/Users/UserA/Pictures/Friends/Uncategorized,623,100
2898,AlbumArt_{097DA2D8-8D1F-400A-8052-F85E1DA4BBBF}_Large.jpg,/Users/UserA/Music/Musician,15,100
2898,Folder.jpg,/Users/UserA/Music/Musician,15,100
